"Folder","Number","Title","Kind","Status","Bytes","File","Source","Error"
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","1","Over-the-Air Software Updates in the Internet of Things - An Overview of Key Principles","paper","collected","890719","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[1] Over-the-Air Software Updates in the Internet of Things - An Overview of Key Principles.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","2","Best Practices for Firmware Code Signing","white paper","collected","433008","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[2] Best Practices for Firmware Code Signing.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","3","The Exact Security of Digital Signatures - How to Sign with RSA and Rabin","paper","collected","1091569","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[3] The Exact Security of Digital Signatures - How to Sign with RSA and Rabin.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","4","The Elliptic Curve Digital Signature Algorithm (ECDSA)","paper","collected","677497","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[4] The Elliptic Curve Digital Signature Algorithm (ECDSA).pdf","https://citeseerx.ist.psu.edu/document?doi=41714555e29b84024de2e214af38c01aa0f825e0&repid=rep1&type=pdf",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","5","Quantum Supremacy Using a Programmable Superconducting Processor","paper","collected","1644579","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[5] Quantum Supremacy Using a Programmable Superconducting Processor.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","6","Module-Lattice-Based Digital Signature Standard (FIPS 204)","standard","collected","3291746","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[6] Module-Lattice-Based Digital Signature Standard (FIPS 204).pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","7","HAETAE - Shorter Lattice-Based Fiat-Shamir Signatures","paper","collected","929165","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[7] HAETAE - Shorter Lattice-Based Fiat-Shamir Signatures.pdf","",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","8","Selected Algorithms from the KpqC Competition Round 1","website","not_applicable","0","","","Reference is not a paper/PDF"
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","9","Lattice-Based Signature Schemes and Their Sensitivity to Fault Attacks","paper","collected","353664","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[9] Lattice-Based Signature Schemes and Their Sensitivity to Fault Attacks.pdf","https://eprint.iacr.org/2016/415.pdf",""
"Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE","10","Fault Attacks Sensitivity of Public Parameters in the Dilithium Verification","paper","collected","1206673","Public Coefficient Matters A Practical Differential Fault Attack on ML-DSA and HAETAE/[10] Fault Attacks Sensitivity of Public Parameters in the Dilithium Verification.pdf","https://eprint.iacr.org/2023/1796.pdf",""
